Codi;Descripció;Comptes
ACTIU;ACTIU;XX
 ACTIU.A;A) ACTIU NO CORRENT;
  ACTIU.I;I. Immobilitzat intangible;
   ACTIU.I.1;1. Desenvolupament;201,2801,2901
   ACTIU.I.2;2. Concessions;202,2802,2902
   ACTIU.I.3;3. Patents, llicències, marques i similars;2903
   ACTIU.I.4;4. Fons de comerç;204,2804
   ACTIU.I.5;5. Aplicacions informàtiques;206,2806,2906
   ACTIU.I.6;6. Investigació;200,2800,2900
   ACTIU.I.7;7. Propietat intelectual;203,2803
   ACTIU.I.8;8. Drets d'emissió de gastos d'efecte hivernacle;
   ACTIU.I.9;9. Altre immobilitzat intangible;205,209,2805,2905
  ACTIU.II;II. Immobilitzat material;
   ACTIU.II.1;1. Terrenys i construccions;210,211,2811,2910,2911
   ACTIU.II.2;2. Instal·lacions tècniques, i altre immobilitzat material;212,213,214,215,216,217,218,219,2810,2812,2813,2814,2815,2816,2817,2818,2819,2912,2913,2914,2915,2916,2917,2918,2919
   ACTIU.II.3;3. Immobilitzat en curs i acomptes;23
  ACTIU.III;III. Inversions immobiliàries;
   ACTIU.III.1;1. Terrenys;220,2920
   ACTIU.III.2;2. Construccions;221,282,2921
  ACTIU.IV;IV. Inversions en empreses del grup i associades a ll/t;
   ACTIU.IV.1;1. Instruments de patrimoni;2403,2404,2493,2494,2933,2934
   ACTIU.IV.2;2. Crèdits a empreses;2423,2424,2953,2954
   ACTIU.IV.3;3. Valors representatius de deute;2413,2414,2943,2944
   ACTIU.IV.4;4. Derivats;
   ACTIU.IV.5;5. Altres actius financers;
   ACTIU.IV.6;6. Altres inversions;
  ACTIU.V;V. Inversions financeres a ll/t;
   ACTIU.V.1;1. Instruments de patrimoni;2405,2495,250,259,2935
   ACTIU.V.2;2. Crèdits a tercers;2425,252,253,254,2955,298
   ACTIU.V.3;3. Valors representatius de deute;2415,251,2945,297
   ACTIU.V.4;4. Derivats;255
   ACTIU.V.5;5. Altres actius financers;258,26
   ACTIU.V.6;6. Altres inversions;
  ACTIU.VI 6;Actiu No Corrent_VI Actius per impost diferit;
  ACTIU.VI;VI. Actius per impost diferit;474
  ACTIU.VII;VII. Deutes comercials no corrents;
 ACTIU.B;B) ACTIU CORRENT;
  ACTIU.B.I;I. Actius no corrents mantinguts per a la venda;580,581,582,583,584,599
  ACTIU.B.II;II. Existències;
   ACTIU.B.II.1;1. Comercials;30,390
   ACTIU.B.II.2;2. Matèries primeres i altres aprovisionaments;31,32,391,392
   ACTIU.B.II.3;3. Productes en curs;33,34,393,394
   ACTIU.B.II.4;4. Productes acabats;35,395
   ACTIU.B.II.5;5. Subproductes, residus i materials recuperats;36,396
   ACTIU.B.II.6;6. Acomptes a proveïdors;407
  ACTIU.B.III;III. Deutors comercials i altres comptes a cobrar;
   ACTIU.B.III.1;1. Clients per vendes i prestacions de serveis;430,431,432,435,436,437,490,4935
   ACTIU.B.III.2;2. Deutors, entitats del grup i associades;433,434,4933,4934,439
   ACTIU.B.III.3;3. Deutors varis;44,5531,5533
   ACTIU.B.III.4;4. Personal;460,544
   ACTIU.B.III.5;5. Actius per impost corrent;4709
   ACTIU.B.III.6;6. Altres crèdits amb les Administracions Públiques;4700,4705,4708,471,472,473
   ACTIU.B.III.7;7. Accionistes (socis) per desemborsament exigits;5580
  ACTIU.B.IV;IV. Inversions en empreses del grup i associades a c/t;
   ACTIU.B.IV.1;1. Instruments de patrimoni;5303,5304,5393,5394,593
   ACTIU.B.IV.2;2. Crèdits a empreses;5323,5324,5343,5344,5953,5954
   ACTIU.B.IV.3;3. Valors representatius de deute;5313,5314,5333,5334,5943,5944
   ACTIU.B.IV.4;4. Derivats;
   ACTIU.B.IV.5;5. Altres actius financers;5353,5354,55230,55240,5520
   ACTIU.B.IV.6;6. Altres inversions;
  ACTIU.B.V;V. Inversions financeres a c/t;
   ACTIU.B.V.1;1. Instruments de patrimoni;5305,540,5395,549,596
   ACTIU.B.V.2;2. Crèdits a empreses;5325,5345,542,543,547,5955,598
