[CodiGrup] varchar PRIMARY KEY;Grup;Posicio;[Comptes] csv
BN;Benefici net;25;
 BAI;BAI, Resultat Abans d'Impostos;23;
  EBIT;EBIT, Resultat operatiu;19;
   EBITDA;EBITDA;15;
    EBITDA_N;EBITDA negocis;9;
     I;Ingressos;4;
      I_01;Ingressos negocis (Gen,Immob,Fel);1;
      I_02;Ingressos Serveis Corporatius;2;
      I_03;Ingressos participades;3;
     OPEX;Total Opex negocis;5;
     R_VI;Resultat vendes immobilitzat;6;670,671,672,770,771,772,678,776,778
     R_VP;Resultat vendes participades;7;666,667,673,675,766,773,775
     R_PR;Provisions i deterior. Comercial;8;
    OPEX_CORPO;total opex Corporatiu;14;
     OPEX_C1;Col·laboracions i Associacions;10;
     OPEX_C2;Govern Consell;11;
     OPEX_C3;Govern Consultoria;12;
     OPEX_C4;Accionistes general;13;
   AM_01;Amortitzacions;16;
   AM_02;Provisions i deterior. immobilitzat;17;690,691,692,790,791,792
   AM_03;Provisions i deterior. participades;18;697,696,698,699,796,797,798,799
  RF;Resultat financer;22;
   RF_1;Resultat financer (+);20;
   RF_2;Resultat financer (-);21;
 IMP;Impostos;24;63000000000,63010000000,63300000000
