[CodiGrup] varchar PRIMARY KEY;Grup;Posicio;[Comptes] csv
ALTRES1;ASSOCIACIONS I ENTITATS;12;
 ASS1;Associacions;10;62960000000,62330000400
 ASS2;Col·laboracions;11;62700000100,62700000101,62700000010
ALTRES2;GOVERN CONSELL;23;
 CONSELL1;Remuneració Consell;21;62330000005,64090000010,64900000003,62330000004,64090000011,62330000012,62900000001,64090000013
 CONSELL3;Secretaria Consell;22;62300000011
ALTRES3;GOVERN CONSULTORIA;33;
 GOV1;Assessoraments;31;62330000007,62330000006,62330000052,62330000053,62330000013,62330000008,64090000012,62330000015
 GOV2;Assessorament CIP;32;62330000054
ALTRES4;ACCIONISTES GENERAL;59;
 ACC01;Sous i salaris accionistes;41;64000000001,64200000001
 ACC02;Tarifa elèctrica (família);42;64900100011
 ACC03;Assegurança accidents;43;62500000016,62500000021
 ACC04;Pis Barcelona;44;62800000004,62200000009,63100000002,63100000015,62500000003,62200000012,62300000012
 ACC05;Pis Sant Antoni Calonge;45;62200000013,62800000002,63100000004,63100000009,62200000006
 ACC06;Local Farmàcia;46;
 ACC07;Torre Llanars;47;62500000004,62200000018,63100000016,63100000017,62200000019,62800000008
 ACC08;Casa Can Feliu Nou;48;
 ACC10;Assessoria Casanovas (família);49;62300000009,62300000014
 ACC11;Lots;50;64900000002,64900000004
 ACC12;Vehicle Mercedes;51;63152000000,62200000022,62530000002
 ACC13;Taxacions finques;52;62330000026
 ACC14;Manteniments locals Comunitat de Béns família (-);53;62200000035
 ACC15;Resta despeses;54;
  RESTA1;Assessories immobles generals;55;62300000008
  RESTA2;Publicacions;56;62900000003
  RESTA3;Manteniments generals accionistes;57;62200000001
ALTRES5;RESULTAT FINANCER;67;
 RF1;Ingressos dividends i venda accions;61;76032000000,76032000101,76320000000,76032000300,66320000000
 RF2;Ingressos dividends i int. altres participades;62;76201000003,76031000000,76201000001,76010000001
 RF3;Ingressos financers IPF;63;76900001400,76900000209,76900001209,76900001402,76900000402,76900000403,76900000500
 RF4;Ingressos interessos accionistes;64;76203000108,76203000110
 RF5;Comissions venda accions;65;62600000001
 RF6;Diferències de canvi;66;66800000100
