[CodiGrup] varchar PRIMARY KEY;Grup;Posicio;[Comptes] csv
BAI;BAI, Resultat Abans d'Impostos;27;
 FIN;Despeses financeres;26;
 EBIT;EBIT, Resultat Operatiu;25;
  AMORT;Amortitzacions;23;68100002110,68100002120,68100002150,68200000001,68100002131,68100002119
  PROV;Provisions i deterior. immobilitzat;24;
  EBITDA;EBITDA;22;
   RVI;Resultat venda immobilitzat;17;
   PROVC;Provisions i deterior. comercial;18;
   ING;Ingressos Can Feliu;4;
    ING1;Ingressos venda avellanes;1;70100000001
    ING2;Ingressos venda fusta i paper;2;70000009000,70000009001,70000009002
    ING3;Ingressos per arrendaments;3;75210000000,75210000001,70500000022,70500000023,75200001001
   OPEX;OPEX;19;
    DESPESES1;Compres aprovisionaments;5;60200000003,60200000010,60200000020,74000000600
    DESPESES2;Manteniment;6;62200000023,62200000003,62200000005,62200000007,62200000017,62215000005,62900000600,62214000005,62200000037,62200000024,62200000020
    DESPESES3;Assessories;7;62300000006,62300000010,62300000020,62320000005,62330000301,62300000015
    DESPESES4;Sous i salaris;8;64001100010,64210000010,64001000015
    DESPESES5;Serveis de grup;9;64000000005
    DESPESES6;Despeses generals;10;
     GRAL0;Assegurances;11;62500000012,62500000013,62530000001,62500000020,62500000022,62500000024,62500000011
     GRAL1;Subministraments;11;62821000000,62800000007
     GRAL2;Subscripcions i associacions;12;62960000005
     GRAL3;Dietes i desplaçaments;13;62910000052,62900000005
     GRAL4;Comissions bancàries;14;62610000400
     GRAL5;Tributs, taxes;15;63100000013,63153100000,63154100000,63158100000,63100000024,63100000018,63100000019
    ALTRES;Altres ingressos explotació;16;74000000400,75300000001,74000000300,77800000100,74000000500
