[CodiGrup] varchar PRIMARY KEY;Grup;Posicio;[Comptes] csv
BAI;BAI, Resultat Abans d'Impostos;23;
 FIN;Despeses financeres;22;
 EBIT;EBIT, Resultat Operatiu;21;
  AMORT;Amortitzacions;19;68100002121,68100002112,68100002132
  PROV;Provisions i deterior. immobilitzat;20;
  EBITDA;EBITDA;18;
   RVI;Resultat venda immobilitzat;16;
   PROVC;Provisions i deterior. comercial;17;
   ING;Ingressos per venda energia;1;70000000400,70000000401,70000000402
   OPEX;OPEX;15;
    PEATGES;Peatges;2;60013000002,60013000003,60013000001
    REP;Representació venda energia;3;62300000035
    BS;Bo social;4;62300000031
    M;Manteniments;5;62200000002,62200000031,62200000033,62217000000,62200000004,62300000032
    ASSE;Assessories;6;62300000040,62330000001,62300000003,62330000401,62300000004
    SERVEIS;Serveis de grup;7;64000000002,64000000008,64000000009,64000000010
    TT;Tributs, taxes;8;63100000001,63100000020,63100000005,63153000000,63180000001,63100000027,63100000026,63100000025
    IiA;Indemnitzacions i ajustaments;9;77800000300
    DG;Despeses generals;10;
     SUBM;Subministraments;11;62800000005,62800000011,62800000012,62800000013
     CB;Comissions bancàries;12;62600000500
     SiA;Subscripcions i associacions;13;62960000010,62960000020,62960000011
     ASSEGURANCES;Assegurances;14;62500000015,62500000018
