[CodiGrup] varchar PRIMARY KEY;Grup;Posicio;[Comptes] csv
BAI;BAI, Resultat Abans d'Impostos;23;
 FIN;Despeses financeres;22;66201000404,66230000402,66230000404,76900002004
 EBIT;EBIT, Resultat Operatiu;21;
  AMORT;Amortitzacions;19;68100002115,68200000000,68100002111,68000002064,68200000004,68200000003,68200000002,68100002118,68100002117
  PROV;Provisions i deterior. immobilitzat;20;79100000011,79200000012
  EBITDA;EBITDA;18;
   RVI;Resultat venda immobilitzat;16;67200000001,77200000001,75900000005,77100000003,70100000002,60000000002,61000000100,61000000300
   PROVC;Provisions i deterior. comercial;17;69400000010
   ING_ARR;Ingressos per arrendaments;1;70500000001,70500000002,70500000003,70500000004,70500000005,70500000006,70500000007,70500000008,70500000009,70500000010,70500000011,70500000012,70500000013,70500000014,70500000015,70500000016,70500000017,70500000019,75900000003,75900000004,70500000021,70500000020,70500000024,70500000025,70500000026,70500000027,75200000000,70500000028
   OPEX;OPEX;15;
    MANTENIMENTS;Manteniments;2;62200000034,62213000000,62220000000,62200000016,62200000021
    ASSEG;Assegurances;3;62500000001,62500000002,62500000014,62500000019,62500000026
    SERVGRUP;Serveis de grup;4;64000000003,64000000007,64200000007
    TT;Tributs, taxes;8;63100000006,63100000012,63154000000,63158000000,63100000023,63100000028,63100000022,63155000000
    DG;Despeses generals;9;
     ASS;Assessories;11;62300000001,62300000007,62400000002,62300000018,62300000021
     SUBMIN;Subministraments;12;62800000006,64900100012
     COMISSIONS;Comissions bancàries;13;62600000203,62600000404
     CPROPIETARIS;Comunitats propietaris;14;62200000008
