[CodiGrup] varchar PRIMARY KEY;Grup;Posicio;[Comptes] csv
BAI;BAI, Resultat Abans d'Impostos;28;
 FIN;Despeses financeres;27;66230000001,66230000212,66230000011,66240000010,76940000300,66230000012,66230000002
 EBIT;EBIT, Resultat Operatiu;26;
  AMORT;Amortitzacions;24;68000002063,68100002114,68100002170,68100002151,68100002160,68100002180,68000002060,68100002124
  PROV;Provisions i deterior. participades;25;69710000003,69700000001,69610000007,67600000007
  EBITDA;EBITDA;23;
   RVP;Resultat venda participades;22;76600000001,76600000002,77340000004
   ING;Ingressos financers participades;3;
    ING1;Ingressos dividends participades;1;70700001001,70700001002,76000000010,76000000012,70700001003
    ING2;Ingressos interessos participades;2;70700000001,70700000002,70700000003,70700000004,76200000004,76200000005,76200000110,76200000405,76212000001,70700000005,70700000600,70700000006,70700000017,70700000016
   OPEX;OPEX;21;
    DESPESES1;Sous i salaris;4;64000000006,64000000004
    DESPESES2;Manteniments;5;62200000100,62200000036
    DESPESES3;Manteniments informàtics;6;62216000013,62216000022,62216000002,62216000003,62216000011,62216000020
    DESPESES4;Tarifa elèctrica empleats;7;64900100009,64900100013
    DESPESES5;Subministraments;8;62820000001
    DESPESES6;Assessories;9;62300000025,62320000010,62320000020,62330000000,62330000040,62330000200,60000000000,62300000013,62330000011,62300000017,62300000002,62300000005,62300000016,62330000030,62330000201,62710000000,62300000019,62330000020
    DESPESES7;Despeses generals;10;
     GRAL1;Assegurances;11;62500000008,62500000009,62500000007,62530000000,77800000400,62500000017,62500000023
     GRAL2;Material oficina;12;62700000000,62931000000,62950000010,62950000020,62950000005
     GRAL3;Selecció de personal;13;62330000014
     GRAL4;Indemnitzacions;14;64100000000,77800000600
     GRAL5;Comissions bancàries;15;62600000209,62610000000,62620000200,62600000403,62600000212,62600000501,62600000204,62600000400,62600000401,62600000402,75400000400
     GRAL6;Tributs, taxes;16;63180000000,63100000007,63100000008,63152000001,63160000008,63100000031,63152000002,77800000200
     GRAL7;Dietes i desplaçaments;17;62900000050,62900000051,62900000052,62900000053,62900000054,62900000055,62900000056
     GRAL8;altres despeses socials;18;60000000001,62720000050,62900000002,64950000000,62900000004,64900000001,62900000012,60200000030,74010000001
     GRAL9;Transports;19;62400000001
     GRAL10;Regularitzacions;20;65900000200,75900000200,67800000001
